## gencode.genes
## GENCODE protein coding genes, combined with entrez id's from GENCODE, and combined with Ensembl product description and transcript type from https://www.ensembl.org/biomart
## GRCh37/hg19, date: 2018-03-27, evidence-based annotation of the human genome, version 28 (Ensembl 92), mapped to GRCh37 with gencode-backmap
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 19724 entries. Columns: 9
#chr	bp1	bp2	geneName	entrez	ensembl	ttype	strand	product
chr19	36825355	36870101	ZFP14	57677	ENSG00000142065.13_3	protein_coding	-	"ZFP14 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29312]"
chr11	215458	236931	SIRT3	23410	ENSG00000142082.14_5	protein_coding	-	"sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]"
chr11	319669	327537	IFITM3	10410	ENSG00000142089.15_4	protein_coding	-	"interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]"
chr11	289135	296107	ATHL1	80162	ENSG00000142102.15_5	protein_coding	+	"protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
chr21	33245628	33416946	HUNK	30811	ENSG00000142149.8_3	protein_coding	+	"hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]"
chr21	47401651	47424964	COL6A1	1291	ENSG00000142156.14_3	protein_coding	+	"collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]"
chr21	34696782	34732168	IFNAR1	3454	ENSG00000142166.12_3	protein_coding	+	"interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]"
chr21	33031935	33041244	SOD1	6647	ENSG00000142168.14_3	protein_coding	+	"superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]"
chr21	47518011	47552763	COL6A2	1292	ENSG00000142173.14_3	protein_coding	+	"collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]"
chr21	44834363	44847069	SIK1	150094	ENSG00000142178.8_4	protein_coding	-	"salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]"
chr21	45666222	45682099	DNMT3L	29947	ENSG00000142182.8_3	protein_coding	-	"DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980]"
chr21	45770046	45862964	TRPM2	7226	ENSG00000142185.16_5	protein_coding	+	"transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]"
chr11	65292548	65306175	SCYL1	57410	ENSG00000142186.16_4	protein_coding	+	"SCY1 like pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:14372]"
chr21	34804792	34852318	TMEM50B	757	ENSG00000142188.16_3	protein_coding	-	"transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]"
chr21	27252861	27543446	APP	351	ENSG00000142192.20_4	protein_coding	-	"amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]"
chr21	37529080	37666572	DOPEY2	9980	ENSG00000142197.12_3	protein_coding	+	"dopey family member 2 [Source:HGNC Symbol;Acc:HGNC:1291]"
chr21	33683329	33765335	URB1	9875	ENSG00000142207.6_3	protein_coding	-	"URB1 ribosome biogenesis 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:17344]"
chr14	105235686	105262088	AKT1	207	ENSG00000142208.15_3	protein_coding	-	"AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]"
chr1	206972215	207016326	IL19	29949	ENSG00000142224.15_4	protein_coding	+	"interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]"
chr19	48824766	48833810	EMP3	2014	ENSG00000142227.10_3	protein_coding	+	"epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]"
chr19	47616531	47713893	SAE1	10055	ENSG00000142230.11_3	protein_coding	+	"SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]"
chr19	49164664	49176338	NTN5	126147	ENSG00000142233.11_3	protein_coding	-	"netrin 5 [Source:HGNC Symbol;Acc:HGNC:25208]"
chr19	48988528	49016446	LMTK3	114783	ENSG00000142235.8_3	protein_coding	-	"lemur tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19295]"
chr19	45582453	45594782	GEMIN7	79760	ENSG00000142252.10_3	protein_coding	+	"gem nuclear organelle associated protein 7 [Source:HGNC Symbol;Acc:HGNC:20045]"
chr19	45281126	45303891	CBLC	23624	ENSG00000142273.11_4	protein_coding	+	"Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]"
chr19	34972543	35003209	WTIP	126374	ENSG00000142279.12_3	protein_coding	+	"WT1 interacting protein [Source:HGNC Symbol;Acc:HGNC:20964]"
chr19	8645126	8675620	ADAMTS10	81794	ENSG00000142303.13_3	protein_coding	-	"ADAM metallopeptidase with thrombospondin type 1 motif 10 [Source:HGNC Symbol;Acc:HGNC:13201]"
chr5	1392905	1445545	SLC6A3	6531	ENSG00000142319.17_3	protein_coding	-	"solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]"
chr2	241505221	241520789	RNPEPL1	57140	ENSG00000142327.12_4	protein_coding	+	"arginyl aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:10079]"
chr2	241526133	241557122	CAPN10	11132	ENSG00000142330.19_3	protein_coding	+	"calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]"
chr19	8585674	8642461	MYO1F	4542	ENSG00000142347.17_4	protein_coding	-	"myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]"
chr19	58816685	58827029	ERVK3-1	.	ENSG00000142396.10_5	protein_coding	+	"endogenous retrovirus group K3 member 1 [Source:HGNC Symbol;Acc:HGNC:30466]"
chr19	54296857	54327648	NLRP12	91662	ENSG00000142405.21_4	protein_coding	-	"NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]"
chr19	54466294	54493469	CACNG8	59283	ENSG00000142408.4_3	protein_coding	+	"calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]"
chr19	56598732	56632649	ZNF787	126208	ENSG00000142409.5_3	protein_coding	-	"zinc finger protein 787 [Source:HGNC Symbol;Acc:HGNC:26998]"
chr19	11039409	11044211	C19orf52	90580	ENSG00000142444.6_4	protein_coding	+	"translocase of inner mitochondrial membrane 29 [Source:HGNC Symbol;Acc:HGNC:25152]"
chr19	8130286	8214730	FBN3	84467	ENSG00000142449.12_3	protein_coding	-	"fibrillin 3 [Source:HGNC Symbol;Acc:HGNC:18794]"
chr19	10982189	11033746	CARM1	10498	ENSG00000142453.11_4	protein_coding	+	"coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]"
chr19	7895119	7929862	EVI5L	115704	ENSG00000142459.8_4	protein_coding	+	"ecotropic viral integration site 5 like [Source:HGNC Symbol;Acc:HGNC:30464]"
chr17	4675179	4686508	TM4SF5	9032	ENSG00000142484.6_3	protein_coding	+	"transmembrane 4 L six family member 5 [Source:HGNC Symbol;Acc:HGNC:11857]"
chr17	19398698	19482347	SLC47A1	55244	ENSG00000142494.13_3	protein_coding	+	"solute carrier family 47 member 1 [Source:HGNC Symbol;Acc:HGNC:25588]"
chr17	4699439	4701798	PSMB6	5694	ENSG00000142507.9_3	protein_coding	+	"proteasome subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]"
chr19	51273721	51274989	GPR32	2854	ENSG00000142511.4_3	protein_coding	+	"G protein-coupled receptor 32 [Source:HGNC Symbol;Acc:HGNC:4487]"
chr19	51913275	51921057	SIGLEC10	89790	ENSG00000142512.14_5	protein_coding	-	"sialic acid binding Ig like lectin 10 [Source:HGNC Symbol;Acc:HGNC:15620]"
chr19	51293672	51298481	ACPT	93650	ENSG00000142513.5_5	protein_coding	+	"acid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:14376]"
chr19	51358171	51364020	KLK3	354	ENSG00000142515.14_3	protein_coding	+	"kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]"
chr19	50528971	50556671	ZNF473	25888	ENSG00000142528.15_3	protein_coding	+	"zinc finger protein 473 [Source:HGNC Symbol;Acc:HGNC:23239]"
chr19	50970042	50980010	FAM71E1	112703	ENSG00000142530.10_3	protein_coding	-	"family with sequence similarity 71 member E1 [Source:HGNC Symbol;Acc:HGNC:25107]"
chr19	49999622	50002946	RPS11	6205	ENSG00000142534.6_3	protein_coding	+	"ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]"
chr19	49925671	49926698	PTH2	113091	ENSG00000142538.1_3	protein_coding	-	"parathyroid hormone 2 [Source:HGNC Symbol;Acc:HGNC:30828]"
chr19	50919056	50931666	CTD-2545M3.6	.	ENSG00000142539.9_5	protein_coding	+	""
chr19	49990811	49995565	RPL13A	23521	ENSG00000142541.16_3	protein_coding	+	"ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]"
chr19	51600863	51611627	CTU1	90353	ENSG00000142544.6_3	protein_coding	-	"cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590]"
chr19	50058968	50093519	NOSIP	51070	ENSG00000142546.13_4	protein_coding	-	"nitric oxide synthase interacting protein [Source:HGNC Symbol;Acc:HGNC:17946]"
chr19	51815102	51833608	IGLON5	402665	ENSG00000142549.9_3	protein_coding	+	"IgLON family member 5 [Source:HGNC Symbol;Acc:HGNC:34550]"
chr19	50030875	50050219	RCN3	57333	ENSG00000142552.7_3	protein_coding	+	"reticulocalbin 3 [Source:HGNC Symbol;Acc:HGNC:21145]"
chr19	52516018	52533493	ZNF614	80110	ENSG00000142556.18_3	protein_coding	-	"zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]"
chr1	9095166	9148537	SLC2A5	6518	ENSG00000142583.17_3	protein_coding	-	"solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]"
chr1	8412457	8877702	RERE	473	ENSG00000142599.17_4	protein_coding	-	"arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]"
chr1	2522078	2564429	MMEL1	79258	ENSG00000142606.15_5	protein_coding	-	"membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]"
chr1	1853390	1935276	CFAP74	.	ENSG00000142609.18_5	protein_coding	-	"cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]"
chr1	2985732	3355185	PRDM16	63976	ENSG00000142611.16_3	protein_coding	+	"PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]"
chr1	15783223	15798586	CELA2A	63036	ENSG00000142615.7_3	protein_coding	+	"chymotrypsin like elastase family member 2A [Source:HGNC Symbol;Acc:HGNC:24609]"
chr1	17575593	17610728	PADI3	51702	ENSG00000142619.4_3	protein_coding	+	"peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]"
chr1	15573768	15726779	FHAD1	114827	ENSG00000142621.19_4	protein_coding	+	"forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408]"
chr1	17531621	17572500	PADI1	29943	ENSG00000142623.9_3	protein_coding	+	"peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]"
chr1	16450832	16482582	EPHA2	1969	ENSG00000142627.12_3	protein_coding	-	"EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]"
chr1	16524349	16539104	ARHGEF19	128272	ENSG00000142632.16_3	protein_coding	-	"Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]"
chr1	15736391	15756839	EFHD2	79180	ENSG00000142634.12_3	protein_coding	+	"EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]"
chr1	10532345	10690815	PEX14	5195	ENSG00000142655.12_3	protein_coding	+	"peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]"
chr1	10458649	10480201	PGD	5226	ENSG00000142657.20_3	protein_coding	+	"phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]"
chr1	24382525	24438665	MYOM3	127294	ENSG00000142661.18_3	protein_coding	-	"myomesin 3 [Source:HGNC Symbol;Acc:HGNC:26679]"
chr1	26605667	26608013	SH3BGRL3	83442	ENSG00000142669.14_3	protein_coding	+	"SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]"
chr1	26503894	26516377	CNKSR1	10256	ENSG00000142675.17_3	protein_coding	+	"connector enhancer of kinase suppressor of Ras 1 [Source:HGNC Symbol;Acc:HGNC:19700]"
chr1	24018232	24023325	RPL11	6135	ENSG00000142676.13_4	protein_coding	+	"ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]"
chr1	24446261	24469611	IL22RA1	58985	ENSG00000142677.3_3	protein_coding	-	"interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700]"
chr1	26496362	26497364	ZNF593	51042	ENSG00000142684.8_3	protein_coding	+	"zinc finger protein 593 [Source:HGNC Symbol;Acc:HGNC:30943]"
chr1	36179476	36185073	C1orf216	127703	ENSG00000142686.7_3	protein_coding	-	"chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]"
chr1	35899091	36023551	KIAA0319L	79932	ENSG00000142687.17_3	protein_coding	-	"KIAA0319 like [Source:HGNC Symbol;Acc:HGNC:30071]"
chr1	36787632	36789755	EVA1B	55194	ENSG00000142694.6_3	protein_coding	-	"eva-1 homolog B [Source:HGNC Symbol;Acc:HGNC:25558]"
chr1	34632484	34684732	C1orf94	84970	ENSG00000142698.14_4	protein_coding	+	"chromosome 1 open reading frame 94 [Source:HGNC Symbol;Acc:HGNC:28250]"
chr1	50883222	50889172	DMRTA2	63950	ENSG00000142700.11_3	protein_coding	-	"DMRT like family A2 [Source:HGNC Symbol;Acc:HGNC:13908]"
chr4	128802016	128820350	PLK4	10733	ENSG00000142731.10_3	protein_coding	+	"polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]"
chr1	27681675	27693383	MAP3K6	9064	ENSG00000142733.14_4	protein_coding	-	"mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]"
chr1	27695603	27701315	FCN3	8547	ENSG00000142748.12_3	protein_coding	-	"ficolin 3 [Source:HGNC Symbol;Acc:HGNC:3625]"
chr1	27202624	27216788	GPN2	54707	ENSG00000142751.14_3	protein_coding	-	"GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:HGNC:25513]"
chr1	27668511	27680428	SYTL1	84958	ENSG00000142765.17_4	protein_coding	+	"synaptotagmin like 1 [Source:HGNC Symbol;Acc:HGNC:15584]"
chr1	27561007	27635124	WDTC1	23038	ENSG00000142784.15_3	protein_coding	+	"WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175]"
chr1	22328149	22339032	CELA3A	10136	ENSG00000142789.19_3	protein_coding	+	"chymotrypsin like elastase family member 3A [Source:HGNC Symbol;Acc:HGNC:15944]"
chr1	21766621	21811498	NBPF3	84224	ENSG00000142794.18_3	protein_coding	+	"NBPF member 3 [Source:HGNC Symbol;Acc:HGNC:25076]"
chr1	22148738	22263790	HSPG2	3339	ENSG00000142798.18_4	protein_coding	-	"heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]"
chr1	63906441	64059392	ITGB3BP	23421	ENSG00000142856.16_3	protein_coding	-	"integrin subunit beta 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6157]"
chr1	67873493	67896098	SERBP1	26135	ENSG00000142864.14_4	protein_coding	-	"SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]"
chr1	85731931	85742773	BCL10	8915	ENSG00000142867.12_3	protein_coding	-	"B cell CLL/lymphoma 10 [Source:HGNC Symbol;Acc:HGNC:989]"
chr1	86046444	86049645	CYR61	3491	ENSG00000142871.16_3	protein_coding	+	"cysteine rich angiogenic inducer 61 [Source:HGNC Symbol;Acc:HGNC:2654]"
chr1	84543745	84704181	PRKACB	5567	ENSG00000142875.19_4	protein_coding	+	"protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]"
chr1	77554675	77685115	PIGK	10026	ENSG00000142892.14_4	protein_coding	-	"phosphatidylinositol glycan anchor biosynthesis class K [Source:HGNC Symbol;Acc:HGNC:8965]"
chr1	32042086	32053287	TINAGL1	64129	ENSG00000142910.15_3	protein_coding	+	"tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]"
chr1	33546705	33586131	AZIN2	113451	ENSG00000142920.16_3	protein_coding	+	"antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]"
chr1	45240923	45244451	RPS8	6202	ENSG00000142937.11_3	protein_coding	+	"ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]"
chr1	45205490	45233439	KIF2C	11004	ENSG00000142945.12_4	protein_coding	+	"kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]"
chr1	43990858	44089337	PTPRF	5792	ENSG00000142949.16_4	protein_coding	+	"protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]"
chr1	45249257	45253377	BEST4	266675	ENSG00000142959.4_3	protein_coding	-	"bestrophin 4 [Source:HGNC Symbol;Acc:HGNC:17106]"
chr1	47073387	47082563	MOB3C	148932	ENSG00000142961.14_3	protein_coding	-	"MOB kinase activator 3C [Source:HGNC Symbol;Acc:HGNC:29800]"
chr1	47223510	47285085	CYP4B1	1580	ENSG00000142973.13_3	protein_coding	+	"cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]"
chr1	55446465	55457966	TMEM61	199964	ENSG00000143001.4_3	protein_coding	+	"transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]"
chr1	53925072	53933161	DMRTB1	63948	ENSG00000143006.7_3	protein_coding	+	"DMRT like family B with proline rich C-terminal 1 [Source:HGNC Symbol;Acc:HGNC:13913]"
chr1	87794151	87814606	LMO4	8543	ENSG00000143013.12_3	protein_coding	+	"LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]"
chr1	110009250	110024759	SYPL2	284612	ENSG00000143028.8_3	protein_coding	+	"synaptophysin like 2 [Source:HGNC Symbol;Acc:HGNC:27638]"
chr1	91177096	91182794	BARHL2	343472	ENSG00000143032.7_3	protein_coding	-	"BarH like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:954]"
chr1	93544792	93604638	MTF2	22823	ENSG00000143033.17_3	protein_coding	+	"metal response element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29535]"
chr1	95285898	95360802	SLC44A3	126969	ENSG00000143036.16_4	protein_coding	+	"solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]"
chr1	117117021	117210377	IGSF3	3321	ENSG00000143061.17_4	protein_coding	-	"immunoglobulin superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:5950]"
chr1	120162045	120190396	ZNF697	90874	ENSG00000143067.4_3	protein_coding	-	"zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]"
chr1	112938803	113006078	CTTNBP2NL	55917	ENSG00000143079.14_4	protein_coding	+	"CTTNBP2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:25330]"
chr1	110574199	110617263	STRIP1	85369	ENSG00000143093.14_3	protein_coding	+	"striatin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25916]"
chr1	111059839	111061797	KCNA10	3744	ENSG00000143105.7_3	protein_coding	-	"potassium voltage-gated channel subfamily A member 10 [Source:HGNC Symbol;Acc:HGNC:6219]"
chr1	109941653	109969049	PSMA5	5686	ENSG00000143106.12_3	protein_coding	-	"proteasome subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]"
chr1	109255279	109285362	FNDC7	163479	ENSG00000143107.8_3	protein_coding	+	"fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]"
chr1	112016414	112021134	C1orf162	128346	ENSG00000143110.11_3	protein_coding	+	"chromosome 1 open reading frame 162 [Source:HGNC Symbol;Acc:HGNC:28344]"
chr1	111415776	111442550	CD53	963	ENSG00000143119.12_3	protein_coding	+	"CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]"
chr1	110993822	110999976	PROK1	84432	ENSG00000143125.5_3	protein_coding	+	"prokineticin 1 [Source:HGNC Symbol;Acc:HGNC:18454]"
chr1	109792641	109818372	CELSR2	1952	ENSG00000143126.7_3	protein_coding	+	"cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]"
chr1	145524891	145543868	ITGA10	8515	ENSG00000143127.12_3	protein_coding	+	"integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]"
chr1	168048781	168106905	GPR161	23432	ENSG00000143147.14_4	protein_coding	-	"G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]"
chr1	165631453	165668100	ALDH9A1	223	ENSG00000143149.12_3	protein_coding	-	"aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]"
chr1	169074935	169101960	ATP1B1	481	ENSG00000143153.12_4	protein_coding	+	"ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]"
chr1	168148171	168171352	TIPRL	261726	ENSG00000143155.12_3	protein_coding	+	"TOR signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:30231]"
chr1	169101769	169337205	NME7	29922	ENSG00000143156.13_5	protein_coding	-	"NME/NM23 family member 7 [Source:HGNC Symbol;Acc:HGNC:20461]"
chr1	166808684	166825581	POGK	57645	ENSG00000143157.11_3	protein_coding	+	"pogo transposable element derived with KRAB domain [Source:HGNC Symbol;Acc:HGNC:18800]"
chr1	167885967	167906278	MPC2	25874	ENSG00000143158.10_3	protein_coding	-	"mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]"
chr1	167498914	167523004	CREG1	8804	ENSG00000143162.7_3	protein_coding	-	"cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]"
chr1	167905021	168045081	DCAF6	55827	ENSG00000143164.15_3	protein_coding	+	"DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]"
chr1	167022073	167135716	GPA33	10223	ENSG00000143167.11_3	protein_coding	-	"glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]"
chr1	165370154	165414592	RXRG	6258	ENSG00000143171.12_3	protein_coding	-	"retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]"
chr1	168250278	168283664	TBX19	9095	ENSG00000143178.12_3	protein_coding	+	"T-box 19 [Source:HGNC Symbol;Acc:HGNC:11596]"
chr1	165796768	165880855	UCK2	7371	ENSG00000143179.15_4	protein_coding	+	"uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12562]"
chr1	165693530	165796992	TMCO1	54499	ENSG00000143183.16_4	protein_coding	-	"transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188]"
chr1	168545711	168551315	XCL1	6375	ENSG00000143184.4_3	protein_coding	+	"X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]"
chr1	168510003	168513235	XCL2	6846	ENSG00000143185.3_3	protein_coding	-	"X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10646]"
chr1	167190066	167396582	POU2F1	5451	ENSG00000143190.21_5	protein_coding	+	"POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]"
chr1	166944819	166991451	MAEL	84944	ENSG00000143194.12_3	protein_coding	+	"maelstrom spermatogenic transposon silencer [Source:HGNC Symbol;Acc:HGNC:25929]"
chr1	166864948	166944719	ILDR2	387597	ENSG00000143195.12_4	protein_coding	-	"immunoglobulin like domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:18131]"
chr1	168664697	168698502	DPT	1805	ENSG00000143196.4_3	protein_coding	-	"dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]"
chr1	165600098	165631033	MGST3	4259	ENSG00000143198.12_3	protein_coding	+	"microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]"
chr1	167778625	167883453	ADCY10	55811	ENSG00000143199.17_4	protein_coding	-	"adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285]"
chr1	175913967	176176629	RFWD2	64326	ENSG00000143207.19_4	protein_coding	-	"COP1, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:17440]"
chr1	161040785	161059389	NECTIN4	81607	ENSG00000143217.8_3	protein_coding	-	"nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]"
chr1	161122566	161128646	UFC1	51506	ENSG00000143222.11_3	protein_coding	+	"ubiquitin-fold modifier conjugating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:26941]"
chr1	161136200	161147803	PPOX	5498	ENSG00000143224.17_3	protein_coding	+	"protoporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:9280]"
chr1	161475220	161493803	FCGR2A	2212	ENSG00000143226.13_4	protein_coding	+	"Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]"
chr1	163236366	163325554	NUF2	83540	ENSG00000143228.12_3	protein_coding	+	"NUF2, NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:14621]"
chr1	163080911	163291581	RGS5	8490	ENSG00000143248.12_3	protein_coding	-	"regulator of G protein signaling 5 [Source:HGNC Symbol;Acc:HGNC:10001]"
chr1	161284047	161345130	SDHC	6391	ENSG00000143252.14_3	protein_coding	+	"succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]"
chr1	161070346	161087901	PFDN2	5202	ENSG00000143256.4_3	protein_coding	-	"prefoldin subunit 2 [Source:HGNC Symbol;Acc:HGNC:8867]"
chr1	161199456	161208092	NR1I3	9970	ENSG00000143257.11_4	protein_coding	-	"nuclear receptor subfamily 1 group I member 3 [Source:HGNC Symbol;Acc:HGNC:7969]"
chr1	161129240	161135513	USP21	27005	ENSG00000143258.15_3	protein_coding	+	"ubiquitin specific peptidase 21 [Source:HGNC Symbol;Acc:HGNC:12620]"
chr1	197008321	197036397	F13B	2165	ENSG00000143278.3_3	protein_coding	-	"coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]"
chr1	156720402	156770609	PRCC	5546	ENSG00000143294.14_3	protein_coding	+	"papillary renal cell carcinoma (translocation-associated) [Source:HGNC Symbol;Acc:HGNC:9343]"
chr1	157483167	157522310	FCRL5	83416	ENSG00000143297.18_3	protein_coding	-	"Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508]"
chr1	156698234	156706752	RRNAD1	51093	ENSG00000143303.11_5	protein_coding	+	"ribosomal RNA adenine dimethylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24273]"
chr1	156707095	156711382	MRPL24	79590	ENSG00000143314.12_3	protein_coding	-	"mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]"
chr1	159994743	160001781	PIGM	93183	ENSG00000143315.7_4	protein_coding	-	"phosphatidylinositol glycan anchor biosynthesis class M [Source:HGNC Symbol;Acc:HGNC:18858]"
chr1	160160346	160171676	CASQ1	844	ENSG00000143318.12_3	protein_coding	+	"calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]"
